age,educ,earnings,marry
51,2,400,1
36,2,850,1
73,5,280,1
47,2,1407.25,0
67,5,1153.84,1
33,4,1192.3,1
32,2,550,1
32,4,1538.46,0
44,2,837,1
56,3,1000,1
35,4,1153.84,1
59,3,455,0
44,2,1155,1
66,3,1653,1
41,4,1150,1
30,5,1000,0
26,4,1153.84,0
27,3,769.22998,0
21,3,180,0
23,3,220,0
39,4,480.76001,1
36,4,1200,1
26,4,738.46002,0
33,5,2200,0
62,5,1826.92,1
35,2,935,1
63,4,1615.38,1
44,3,769,0
58,4,1538.46,1
51,3,800,0
34,4,2800,0
30,3,500,0
31,3,500,0
30,4,1923.0699,1
43,4,2884.6101,1
49,4,1346.15,1
22,3,180,0
63,3,1538,1
24,3,900,0
26,4,1730,1
55,2,1153,0
51,4,2115.3799,1
65,3,440,1
34,1,440,0
56,4,1160,1
27,2,380,0
31,3,1820,1
51,3,338.70001,0
27,3,780,0
32,2,750,0
30,3,2600,1
47,3,900,1
31,3,730.76001,0
41,3,1250,1
55,4,2884.6101,1
22,4,300,0
67,4,2019.23,1
46,4,1200,0
39,2,506,1
34,2,1038.46,1
27,1,300,0
59,2,1538,1
49,2,1100,1
53,2,600,1
77,1,346.14999,1
44,1,500,1
45,3,1000,1
53,2,1200,0
21,2,923.07001,0
26,2,400,1
48,3,769.22998,1
26,3,414,0
71,3,230.39999,1
50,1,400,1
43,4,1730,1
28,3,460,0
46,4,2884.6101,1
55,3,276,1
40,3,1212.12,0
45,1,340,1
24,2,461.53,0
62,2,500,1
78,5,400,1
46,4,2500,0
39,2,800,1
22,3,666,0
25,2,576,0
56,3,720,1
56,2,519.22998,0
62,4,256.32001,1
50,3,200,1
57,2,1153,1
41,5,1057.6899,0
45,4,1846,1
28,4,1250,0
48,2,1120,0
53,2,496,1
54,4,1538.46,1
29,2,2884.6101,0
47,4,1000,0
23,4,1076.92,0
75,1,560,1
52,2,800,0
44,3,820,0
42,4,1923.0699,1
55,3,1730.76,1
25,3,692.29999,0
26,3,865.38,0
46,4,1789.6,1
21,2,500,0
38,3,1538.46,0
36,2,580,1
59,3,918,1
51,1,400,0
41,2,750,0
22,3,462,1
58,2,800,1
34,1,1500,1
31,3,2884.6101,1
30,2,1320,0
54,3,421.5,0
63,4,585.62,1
31,2,570,1
35,2,1000,1
45,3,500,1
52,3,500,1
46,2,840,1
21,2,217.5,0
41,4,842,1
21,3,596.15002,0
67,4,2100,1
70,3,920,1
30,3,700,1
50,4,2500,1
57,3,1730,1
22,3,110,0
41,3,1090.8,1
53,2,500,1
22,3,346.14999,0
40,5,2307.6899,1
42,3,600,0
26,4,844.79999,0
29,2,840,0
62,1,600,1
58,2,422,0
49,5,1442.3,1
31,3,654,1
47,3,1788,1
51,3,240,1
26,2,830.76001,0
37,1,241.5,0
43,4,1640,1
55,3,787.5,1
31,3,745.59998,0
24,4,300,1
58,2,1012,0
27,3,450,0
54,4,1442.3,1
33,4,1400,1
32,2,680,1
56,3,800,0
28,3,720,1
53,4,680,1
58,3,216,0
23,4,440,0
55,3,1920,1
51,2,1080,0
34,3,377.60001,0
60,2,500,1
58,2,1050,1
62,3,192.3,0
36,2,2430,1
37,2,769.22998,1
24,2,484,0
32,4,884.60999,1
39,2,600,1
33,4,1057,1
36,2,437,0
25,3,847,0
64,4,2884.6101,1
29,3,1900,0
22,2,120,0
23,2,1470,0
26,4,1360,0
34,2,1260,0
61,2,455.10001,1
42,4,1000,1
43,2,340,1
58,3,692.29999,0
38,3,600,1
40,3,500,0
40,1,960,0
29,3,741.59998,0
50,4,2884.6101,1
60,4,1153.84,1
26,3,500,0
36,3,463.89999,0
21,2,440,0
26,2,594,0
40,3,1000,1
26,3,850,1
63,5,1346.15,1
32,3,987.84998,1
57,5,1442.3,0
57,4,2884.6101,1
37,4,2655,1
37,4,1346,1
34,3,1200,1
46,2,769,0
35,2,1400,1
29,3,1846.15,1
52,1,700,1
65,3,166,1
35,3,1250,0
49,2,1400,1
41,3,950,1
46,2,1307.6899,0
33,3,835,1
29,2,265.20001,0
35,1,465.20001,1
65,3,1091,1
50,3,783.75,1
30,3,750,0
35,2,1750,1
53,3,1202,1
27,1,394,0
38,1,685.59998,1
45,4,2692.3,1
40,4,1538,1
28,2,1057.6899,1
59,3,1010,0
34,2,450,0
23,2,1805,1
71,5,1153,1
30,2,450,0
36,5,2653.8401,0
30,2,923.07001,0
54,1,720,1
59,2,714,1
23,2,600,0
63,4,2200,1
37,1,360,1
61,4,1225,0
28,1,600,1
35,2,1000,1
50,3,980,0
47,2,1230,0
34,2,160,0
35,2,1400,0
47,1,600,1
31,3,2884.6101,1
37,4,1250,1
49,3,1538,1
40,5,961.53003,1
52,4,1538.46,0
40,2,467.5,1
40,3,1080,0
40,3,555.20001,1
57,2,900,1
56,1,619.20001,0
53,2,1250,0
30,2,384.60999,0
59,5,1160,1
47,2,600,1
25,4,1250,0
33,4,1192.3,1
51,2,800,0
53,2,2355,1
65,3,1384,1
38,4,1807.6899,0
50,4,1680,1
63,2,1346.15,1
63,4,364,1
21,2,540,0
23,4,440,0
46,2,1800,1
71,3,420,1
33,3,900,1
